Guid,Element_Id,Type,Level,Date,Time,Version,Model
25933778-bdec-418f-9215-63d226921279-0003b993,244115,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
25933778-bdec-418f-9215-63d226921279-0003b9e7,244199,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
ac6b7768-9daa-4641-b097-f1c00b53b1cf-0003d511,251153,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
9507a10d-de36-4650-a2b9-6b6a27832592-0003e650,255568,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
9507a10d-de36-4650-a2b9-6b6a27832592-0003e6df,255711,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
d0184f58-dd6a-4fdc-823f-d9780b0bf8b7-0003e718,255768,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
f5fdde3a-3656-40b0-97f1-c2a1827f7823-0003e855,256085,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
f5fdde3a-3656-40b0-97f1-c2a1827f7823-0003e9e7,256487,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
f5fdde3a-3656-40b0-97f1-c2a1827f7823-0003ec4d,257101,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
f5fdde3a-3656-40b0-97f1-c2a1827f7823-0003ec79,257145,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
e9a51f79-4011-4654-ba16-6d0e69bca5fc-0003eddd,257501,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22adb408-c17d-4959-b114-33c2d5fb9dc8-0003eed9,257753,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22adb408-c17d-4959-b114-33c2d5fb9dc8-0003ef3e,257854,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
94636d7c-0a20-47e8-9ae2-26650d99c37b-0003fda4,261540,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
94636d7c-0a20-47e8-9ae2-26650d99c37b-0003fdc2,261570,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
38666cbd-4118-4497-9e37-965121c088d1-000403a1,263073,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
38666cbd-4118-4497-9e37-965121c088d1-00040644,263748,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
b7387dc8-62cf-47a4-9753-482cf9c1e92f-000407cb,264139,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9a7,379303,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9a8,379304,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9a9,379305,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9aa,379306,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9ab,379307,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9ac,379308,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9ad,379309,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9ae,379310,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9af,379311,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9b0,379312,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9b1,379313,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9b2,379314,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9b3,379315,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9b4,379316,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9b5,379317,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9b6,379318,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9b7,379319,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9b8,379320,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9b9,379321,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9ba,379322,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9bb,379323,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9bc,379324,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9bd,379325,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9be,379326,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9bf,379327,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9c0,379328,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9c1,379329,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005c9c2,379330,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
