Guid,Element_Id,Type,Level,Date,Time,Version,Model
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000138d7,80110,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-0001394e,80213,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-0001395c,80223,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-0001396b,80235,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013978,80248,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-0001399e,80286,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000139b1,80305,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000139c0,80320,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000139cf,80335,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000139de,80350,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000139ed,80365,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013a0b,80395,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013a1a,80410,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013a29,80425,Floor,TOR,May 24, 2023 11:25 AM,V21,PLE-TR-G12-HLD
